timestamp,inputOffset,resultOffset,sourceCount,inputLag,resultLag,kafkaQueueTimeP50,kafkaQueueTimeP95,kafkaQueueTimeP99,latencyMedian,latencyP95,latencyP99,latencyTail,avgCpu,avgInput,avgProcess,queueSize,numExecutors,numLambdaExecutors,registeredVmWorkers,activeVmWorkers,vmWorkerRunningTasks,consumerCommittedOffset,consumerLogEndOffset,consumerLag,kafkaQueueTimeUnweightedMeanMs,kafkaQueueTimeWeightedMeanMs,kafkaQueueTimeTotalSamples,kafkaQueueTimeValidTasks,kafkaQueueTimeValidIntervals,kafkaQueueTimeLatestTimestamp
1786654874646,0,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0.000179,0.0,-1.0,-1,4,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1
1786654890957,607656,-1,547890,59766,-1,58.05091538461539,77.90067985714285,77.90067985714285,-1,-1,-1,-1,0.011527,60000.0,59504.2,-1,4,-1,-1,-1,-1,495000,748108,253108,40.69728347077922,62.20503107421384,795,8,99,1786654898545
1786654906851,1567656,-1,1561405,6251,-1,54.82142825,59.3134840625,59.3134840625,-1,-1,-1,-1,0.011241,60000.0,60160.2,-1,4,-1,-1,-1,-1,1695000,1695000,0,36.10138773214286,54.18267185281837,958,8,123,1786654914545
1786654922812,2527656,-1,2519125,8531,-1,50.4285710625,54.0937495,54.0937495,-1,-1,-1,-1,0.011205,60000.0,59676.0,-1,4,-1,-1,-1,-1,2595000,2655000,60000,34.0983628828125,49.83837290823775,959,8,124,1786654930549
1786654938935,3487656,-1,3474217,13439,-1,51.06190425,52.4869043125,52.4869043125,-1,-1,-1,-1,0.011143,60000.0,59899.4,-1,4,-1,-1,-1,-1,3495000,3615000,120000,34.274478952008934,49.98540105735141,959,8,120,1786654946560
1786654954975,4447656,-1,4427939,19717,-1,50.493749625,51.76815425,51.76815425,-1,-1,-1,-1,0.011161,60000.0,59768.2,-1,4,-1,-1,-1,-1,4395000,4575000,180000,32.477008697916666,49.020832901041665,960,8,124,1786654962572
1786654970820,5407656,-1,5387417,20239,-1,46.71666625,53.272320875,53.272320875,-1,-1,-1,-1,0.011161,60000.0,59173.2,-1,4,-1,-1,-1,-1,5295000,5535000,240000,33.0479536171875,48.13645786145833,960,8,124,1786654978582
1786654986943,6367656,-1,6342686,24970,-1,45.4672615625,53.5220233125,53.5220233125,-1,-1,-1,-1,0.008036,60000.0,58964.4,-1,4,-1,-1,-1,-1,6495000,6495000,0,33.61941943080357,47.977082934375005,960,8,123,1786654994593
1786655003088,7391476,-1,7331623,59853,-1,54.835768,57.4535980625,57.4535980625,-1,-1,-1,-1,0.011116,90000.0,89870.0,-1,4,-1,-1,-1,-1,7492500,7582500,90000,36.387053348958325,55.20375293744414,1119,8,125,1786655010603
1786655019127,8987856,-1,8879166,108690,-1,65.8256810625,79.1755948125,79.1755948125,-1,-1,-1,-1,0.016286,140000.0,139920.2,-1,4,-1,-1,-1,-1,9005000,9285000,280000,48.9855341640625,72.16628528685715,1750,8,128,1786655026617
1786655034931,11475512,-1,11309977,165535,-1,91.315163,96.9069371875,96.9069371875,-1,-1,-1,-1,0.022,200000.0,200339.8,-1,4,-1,-1,-1,-1,11300000,11900000,600000,64.1071895546875,92.07244169940255,2678,8,128,1786655042628
1786655050872,14980721,-1,14763133,217588,-1,73.568480625,79.710095,79.710095,-1,-1,-1,-1,0.025866,260000.0,259695.8,-1,4,-1,-1,-1,-1,14495000,15535000,1040000,51.82274246875,74.35870987889462,3691,8,128,1786655058638
1786655066932,19572092,-1,19287231,284861,-1,87.589311,92.5014386875,92.5014386875,-1,-1,-1,-1,0.027188,330000.0,329920.8,-1,4,-1,-1,-1,-1,20272500,20272500,0,62.69993178125,88.04219454604032,4811,8,128,1786655074648
1786655082868,25343514,-1,25003269,340245,-1,105.0049986875,110.505715875,110.505715875,-1,-1,-1,-1,0.022732,400000.0,399863.0,-1,4,-1,-1,-1,-1,25800000,26200000,400000,76.5074080234375,104.10340175883923,5996,8,128,1786655090657
1786655099176,32157396,-1,31763774,393622,-1,111.2835344375,121.2283690625,121.2283690625,-1,-1,-1,-1,0.026027,450000.0,449860.6,-1,4,-1,-1,-1,-1,32212500,33126089,913589,82.8371642421875,111.9889379070536,6961,8,128,1786655106667
1786655115388,39357396,-1,38962500,394896,-1,130.561718875,139.0998029375,139.0998029375,-1,-1,-1,-1,0.029125,450000.0,450000.0,-1,4,-1,-1,-1,-1,38962500,40635930,1673430,93.39070799034926,128.90444245741628,7315,8,130,1786655123641
1786655131528,46557396,-1,46162500,394896,-1,131.85935688235296,147.7365937647059,147.7365937647059,-1,-1,-1,-1,0.026235,400000.0,447500.0,-1,3,-1,-1,-1,-1,45712500,47960365,2247865,96.64373589935661,133.79819509035426,7537,8,134,1786655139691
1786655147584,53201024,-1,52850000,351024,-1,101.74394073333333,109.09717125,109.09717125,-1,-1,-1,-1,0.02608,330000.0,382500.0,-1,4,-1,-1,-1,-1,54050000,54450000,400000,75.880899653125,102.67584625546058,6318,8,126,1786655155694
1786655163504,58752092,-1,58744834,7258,-1,116.94840928571428,126.52444714285716,126.52444714285716,-1,-1,-1,-1,0.021545,260000.0,308033.2,-1,4,-1,-1,-1,-1,59122500,59734334,611834,92.38510046845238,147.43921291775925,5034,8,114,1786655170714
1786655179508,63113160,-1,62885000,228160,-1,78.4363876875,83.514256375,83.514256375,-1,-1,-1,-1,0.027577,200000.0,221000.0,-1,3,-1,-1,-1,-1,63145000,63744050,599050,58.6525843984375,78.40807782252142,4085,8,128,1786655186725
1786655195424,66425512,-1,66250000,175512,-1,69.60911741176471,74.9213258235294,74.9213258235294,-1,-1,-1,-1,0.02372,140000.0,149000.0,-1,4,-1,-1,-1,-1,66250000,66915000,665000,49.41334550735294,69.87363451450858,3205,8,136,1786655203733
1786655211522,68706121,-1,68595000,111121,-1,47.4999235,55.9026646875,55.9026646875,-1,-1,-1,-1,0.021777,90000.0,90000.0,-1,4,-1,-1,-1,-1,68455000,68992500,537500,36.587278453125,52.375246146449705,2028,8,128,1786655219742
1786655227820,70172604,-1,70125000,47604,-1,43.2835493125,44.448863125,44.448863125,-1,-1,-1,-1,0.024214,60000.0,60000.0,-1,4,-1,-1,-1,-1,70245000,70305000,60000,29.379700796875,43.127343301562505,1280,8,124,1786655235754
