timestamp,topic,endOffset,committedOffset,consumerLogEndOffset,consumerLag
1786654874646,nexmark-auction,0,0,0,0
1786654874646,nexmark-bid,0,0,0,0
1786654890957,nexmark-auction,30294,30294,45900,15606
1786654890957,nexmark-bid,577362,464706,702208,237502
1786654906851,nexmark-auction,89046,103734,103734,0
1786654906851,nexmark-bid,1478610,1591266,1591266,0
1786654922812,nexmark-auction,147798,158814,162486,3672
1786654922812,nexmark-bid,2379858,2436186,2492514,56328
1786654938935,nexmark-auction,206550,213894,221238,7344
1786654938935,nexmark-bid,3281106,3281106,3393762,112656
1786654954975,nexmark-auction,265302,268974,279990,11016
1786654954975,nexmark-bid,4182354,4126026,4295010,168984
1786654970820,nexmark-auction,324054,324054,338742,14688
1786654970820,nexmark-bid,5083602,4970946,5196258,225312
1786654986943,nexmark-auction,382806,397494,397494,0
1786654986943,nexmark-bid,5984850,6097506,6097506,0
1786655003088,nexmark-auction,442018,458554,464066,5512
1786655003088,nexmark-bid,6949458,7033946,7118434,84488
1786655019127,nexmark-auction,534035,551179,568323,17144
1786655019127,nexmark-bid,8453821,8453821,8716677,262856
1786655034931,nexmark-auction,679449,691693,728425,36732
1786655034931,nexmark-bid,10796063,10608307,11171575,563268
1786655050872,nexmark-auction,884861,887300,950980,63680
1786655050872,nexmark-bid,14095860,13607700,14584020,976320
1786655066932,nexmark-auction,1160227,1241043,1241043,0
1786655066932,nexmark-bid,18411865,19031457,19031457,0
1786655082868,nexmark-auction,1498472,1579446,1603934,24488
1786655082868,nexmark-bid,23845042,24220554,24596066,375512
1786655099176,nexmark-auction,1916940,1972044,2031900,59856
1786655099176,nexmark-bid,30240456,30240456,31094189,853733
1786655115388,nexmark-auction,2357772,2385324,2495532,110208
1786655115388,nexmark-bid,36999624,36577176,38140398,1563222
1786655131528,nexmark-auction,2798604,2798604,2936364,137760
1786655131528,nexmark-bid,43758792,42913896,45024001,2110105
1786655147584,nexmark-auction,3211094,3309046,3333534,24488
1786655147584,nexmark-bid,49989930,50740954,51116466,375512
1786655163504,nexmark-auction,3558991,3619603,3658940,39337
1786655163504,nexmark-bid,55193101,55502897,56075394,572497
1786655179508,nexmark-auction,3834060,3865900,3909065,43165
1786655179508,nexmark-bid,59279100,59279100,59834985,555885
1786655195424,nexmark-auction,4043749,4055993,4096707,40714
1786655195424,nexmark-bid,62381763,62194007,62818293,624286
1786655211522,nexmark-auction,4190999,4190999,4223914,32915
1786655211522,nexmark-bid,64515122,64264001,64768586,504585
1786655227820,nexmark-auction,4284546,4300614,4304286,3672
1786655227820,nexmark-bid,65888058,65944386,66000714,56328
1786655243888,nexmark-auction,4344678,4355694,4363038,7344
1786655243888,nexmark-bid,66789306,66789306,66901962,112656
1786655259718,nexmark-auction,4403430,4410774,4421790,11016
1786655259718,nexmark-bid,67690554,67634226,67803210,168984
1786655276086,nexmark-auction,4465854,4465854,4480542,14688
1786655276086,nexmark-bid,68591802,68479146,68704458,225312
1786655292292,nexmark-auction,4509000,4509000,4509000,0
1786655292292,nexmark-bid,69141000,69141000,69141000,0
1786655308676,nexmark-auction,4509000,4509000,4509000,0
1786655308676,nexmark-bid,69141000,69141000,69141000,0
1786655324692,nexmark-auction,4509000,4509000,4509000,0
1786655324692,nexmark-bid,69141000,69141000,69141000,0
1786655340808,nexmark-auction,4509000,4509000,4509000,0
1786655340808,nexmark-bid,69141000,69141000,69141000,0
