timestamp,event,phase,targetRate,durationSec,totalSent,elapsedMs
1786654883854,start,1,60000,120.0,0,7
1786655016808,start,2,90000,15.0,8201476,132961
1786655027373,start,3,140000,15.0,9539284,143526
1786655037912,start,4,200000,15.0,11075512,154065
1786655058864,start,5,260000,15.0,15763160,175017
1786655069591,start,6,330000,15.0,18891888,185744
1786655090676,start,7,400000,15.0,26526536,206829
1786655101210,start,8,450000,45.0,31164191,217363
1786655143357,start,9,400000,15.0,49976536,259510
1786655164565,start,10,330000,15.0,57741888,280718
1786655175133,start,11,260000,15.0,60886243,291286
1786655196412,start,12,200000,15.0,65813268,312565
1786655206953,start,13,140000,15.0,67457856,323106
1786655228213,start,14,90000,15.0,69875964,344366
1786655238852,start,15,60000,60.0,70534902,355005
