timestamp,jobId,totalSourceCount,executorId,executorSourceCount
1786654885346,sponge-q6-sine-60k450k-peak45-20260813T2057Z,2375,Executor0,2375
1786654886346,sponge-q6-sine-60k450k-peak45-20260813T2057Z,39260,Executor0,39260
1786654887346,sponge-q6-sine-60k450k-peak45-20260813T2057Z,121036,Executor0,121036
1786654888346,sponge-q6-sine-60k450k-peak45-20260813T2057Z,187401,Executor0,187401
1786654889346,sponge-q6-sine-60k450k-peak45-20260813T2057Z,248666,Executor0,248666
1786654890346,sponge-q6-sine-60k450k-peak45-20260813T2057Z,309461,Executor0,309461
1786654891346,sponge-q6-sine-60k450k-peak45-20260813T2057Z,368460,Executor0,368460
1786654892346,sponge-q6-sine-60k450k-peak45-20260813T2057Z,428371,Executor0,428371
1786654893346,sponge-q6-sine-60k450k-peak45-20260813T2057Z,488898,Executor0,488898
1786654894346,sponge-q6-sine-60k450k-peak45-20260813T2057Z,547890,Executor0,547890
1786654895346,sponge-q6-sine-60k450k-peak45-20260813T2057Z,608019,Executor0,608019
1786654896346,sponge-q6-sine-60k450k-peak45-20260813T2057Z,666343,Executor0,666343
1786654897346,sponge-q6-sine-60k450k-peak45-20260813T2057Z,730207,Executor0,730207
1786654898346,sponge-q6-sine-60k450k-peak45-20260813T2057Z,784535,Executor0,784535
1786654899346,sponge-q6-sine-60k450k-peak45-20260813T2057Z,846431,Executor0,846431
1786654900346,sponge-q6-sine-60k450k-peak45-20260813T2057Z,905540,Executor0,905540
1786654901346,sponge-q6-sine-60k450k-peak45-20260813T2057Z,965738,Executor0,965738
1786654902346,sponge-q6-sine-60k450k-peak45-20260813T2057Z,1024514,Executor0,1024514
1786654903346,sponge-q6-sine-60k450k-peak45-20260813T2057Z,1085429,Executor0,1085429
1786654904346,sponge-q6-sine-60k450k-peak45-20260813T2057Z,1145362,Executor0,1145362
1786654905346,sponge-q6-sine-60k450k-peak45-20260813T2057Z,1205213,Executor0,1205213
1786654906346,sponge-q6-sine-60k450k-peak45-20260813T2057Z,1264550,Executor0,1264550
1786654907346,sponge-q6-sine-60k450k-peak45-20260813T2057Z,1322505,Executor0,1322505
1786654908346,sponge-q6-sine-60k450k-peak45-20260813T2057Z,1381583,Executor0,1381583
1786654909346,sponge-q6-sine-60k450k-peak45-20260813T2057Z,1441175,Executor0,1441175
1786654910346,sponge-q6-sine-60k450k-peak45-20260813T2057Z,1501163,Executor0,1501163
1786654911346,sponge-q6-sine-60k450k-peak45-20260813T2057Z,1561405,Executor0,1561405
